id,block,far_mean,far_median,far_max,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev,far_1,far_2,far_3,far_4,far_5,far_6,far_7,far_8,far_9,far_10,far_11,far_12,far_13,far_14,far_15,far_16,far_17,far_18,far_19,far_20,far_21,far_22,far_23,far_24,far_25,far_26,far_27,far_28,far_29,far_30,far_31,far_32,far_33,far_34,far_35,far_36,far_37,far_38,far_39,far_40,far_41,far_42,far_43,far_44,far_45,far_46,far_47,far_48,far_49,far_50,far_51,far_52,far_53,far_54,far_55,far_56,far_57,far_58,far_59,far_60,far_61,far_62,far_63,far_64,far_65,far_66,far_67,far_68,far_69,far_70,far_71,far_72,far_73,far_74,far_75,far_76,far_77,far_78,far_79,far_80,far_81,far_82,far_83,far_84,far_85,far_86,far_87,far_88,far_89,far_90,far_91,far_92,far_93,far_94,far_95,far_96,far_97,far_98,far_99
203,625,6.62,5.79,9.0,1.51,38007.3,34401.0,6340.81,48.84,40.53,27.28,4.98,5.0,5.03,5.06,5.08,5.11,5.13,5.16,5.19,5.21,5.24,5.27,5.29,5.32,5.35,5.37,5.4,5.43,5.45,5.48,5.5,5.53,5.56,5.58,5.61,5.62,5.62,5.63,5.64,5.65,5.65,5.66,5.67,5.67,5.68,5.69,5.7,5.7,5.71,5.72,5.73,5.73,5.74,5.75,5.75,5.76,5.77,5.78,5.78,5.79,5.87,5.95,6.02,6.1,6.18,6.26,6.33,6.41,6.49,6.57,6.64,6.72,6.8,6.88,6.95,7.03,7.11,7.19,7.26,7.34,7.42,7.5,7.57,7.65,7.73,7.78,7.83,7.88,7.93,7.98,8.03,8.09,8.14,8.19,8.24,8.29,8.34,8.39,8.44,8.49,8.54,8.59,8.64,8.7,8.75,8.8,8.85,8.9,8.95
204,643,7.83,5.8,14.04,3.37,29027.48,26325.0,20325.92,56.46,53.87,25.85,5.02,5.04,5.06,5.09,5.11,5.13,5.15,5.17,5.19,5.22,5.24,5.26,5.28,5.3,5.32,5.35,5.37,5.39,5.41,5.43,5.45,5.48,5.5,5.52,5.54,5.55,5.56,5.57,5.58,5.59,5.6,5.61,5.62,5.63,5.64,5.65,5.66,5.68,5.69,5.7,5.71,5.72,5.73,5.74,5.75,5.76,5.77,5.78,5.79,5.8,5.92,6.04,6.15,6.27,6.39,6.51,6.63,6.74,6.86,6.98,7.1,7.22,7.33,7.45,7.57,7.69,7.81,7.92,8.04,8.16,8.28,8.4,8.51,8.63,8.75,8.96,9.17,9.38,9.6,9.81,10.02,10.23,10.44,10.65,10.87,11.08,11.29,11.5,11.71,11.92,12.14,12.35,12.56,12.77,12.98,13.19,13.41,13.62,13.83
207,746,1.49,1.73,2.2,0.75,25993.5,23809.5,12560.56,34.72,31.94,27.78,0.32,0.36,0.39,0.42,0.46,0.49,0.53,0.56,0.59,0.63,0.66,0.69,0.73,0.76,0.79,0.83,0.86,0.89,0.93,0.96,1.0,1.03,1.06,1.1,1.13,1.16,1.2,1.23,1.26,1.3,1.33,1.37,1.4,1.42,1.44,1.46,1.48,1.5,1.52,1.54,1.56,1.58,1.6,1.61,1.63,1.65,1.67,1.69,1.71,1.73,1.75,1.77,1.79,1.81,1.83,1.85,1.86,1.88,1.9,1.92,1.94,1.96,1.98,2.0,2.02,2.04,2.05,2.06,2.06,2.06,2.07,2.07,2.08,2.08,2.09,2.09,2.1,2.1,2.11,2.11,2.11,2.12,2.12,2.13,2.13,2.14,2.14,2.15,2.15,2.16,2.16,2.16,2.17,2.17,2.18,2.18,2.19,2.19,2.2
208,667,0.54,0.54,0.54,0.0,102145.0,102145.0,0.0,63.98,63.98,0.0,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
210,672,3.03,3.03,3.03,0.0,187.13,187.13,0.0,49.73,49.73,0.0,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03
211,674,2.79,2.79,4.11,1.32,82527.5,82527.5,39097.5,100.0,100.0,0.0,1.51,1.53,1.56,1.59,1.61,1.64,1.66,1.69,1.72,1.74,1.77,1.8,1.82,1.85,1.87,1.9,1.93,1.95,1.98,2.01,2.03,2.06,2.08,2.11,2.14,2.16,2.19,2.22,2.24,2.27,2.3,2.32,2.35,2.37,2.4,2.43,2.45,2.48,2.51,2.53,2.56,2.58,2.61,2.64,2.66,2.69,2.72,2.74,2.77,2.8,2.82,2.85,2.87,2.9,2.93,2.95,2.98,3.01,3.03,3.06,3.08,3.11,3.14,3.16,3.19,3.22,3.24,3.27,3.29,3.32,3.35,3.37,3.4,3.43,3.45,3.48,3.51,3.53,3.56,3.58,3.61,3.64,3.66,3.69,3.72,3.74,3.77,3.79,3.82,3.85,3.87,3.9,3.93,3.95,3.98,4.0,4.03,4.06,4.08
212,677,5.5,5.5,5.5,0.0,6095.3,6095.3,0.0,72.61,72.61,0.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
213,680,3.22,4.17,5.12,2.05,82468.11,72446.0,51705.83,77.27,68.82,12.62,0.45,0.52,0.6,0.67,0.75,0.83,0.9,0.98,1.05,1.13,1.21,1.28,1.36,1.43,1.51,1.59,1.66,1.74,1.81,1.89,1.97,2.04,2.12,2.19,2.27,2.35,2.42,2.5,2.57,2.65,2.73,2.8,2.88,2.95,3.03,3.11,3.18,3.26,3.33,3.41,3.49,3.56,3.64,3.71,3.79,3.87,3.94,4.02,4.09,4.17,4.19,4.21,4.23,4.25,4.27,4.28,4.3,4.32,4.34,4.36,4.38,4.4,4.42,4.44,4.46,4.47,4.49,4.51,4.53,4.55,4.57,4.59,4.61,4.63,4.64,4.66,4.68,4.7,4.72,4.74,4.76,4.78,4.8,4.82,4.84,4.85,4.87,4.89,4.91,4.93,4.95,4.97,4.99,5.01,5.03,5.04,5.06,5.08,5.1
214,696,1.97,1.97,2.24,0.28,28533.22,28533.22,28134.78,97.42,97.42,2.58,1.7,1.7,1.71,1.71,1.72,1.72,1.73,1.73,1.74,1.74,1.75,1.76,1.76,1.77,1.77,1.78,1.78,1.79,1.79,1.8,1.81,1.81,1.82,1.82,1.83,1.83,1.84,1.84,1.85,1.86,1.86,1.87,1.87,1.88,1.88,1.89,1.89,1.9,1.9,1.91,1.92,1.92,1.93,1.93,1.94,1.94,1.95,1.95,1.96,1.96,1.97,1.98,1.98,1.99,1.99,2.0,2.0,2.01,2.01,2.02,2.03,2.03,2.04,2.04,2.05,2.05,2.06,2.06,2.07,2.08,2.08,2.09,2.09,2.1,2.1,2.11,2.11,2.12,2.12,2.13,2.14,2.14,2.15,2.15,2.16,2.16,2.17,2.17,2.18,2.19,2.19,2.2,2.2,2.21,2.21,2.22,2.22,2.23,2.23
216,703,1.47,1.51,2.29,0.72,11376.52,10928.5,11193.72,57.49,62.03,18.81,0.59,0.6,0.61,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.96,0.98,1.02,1.05,1.08,1.12,1.15,1.18,1.22,1.25,1.28,1.32,1.35,1.38,1.42,1.45,1.48,1.52,1.55,1.58,1.61,1.65,1.68,1.71,1.75,1.78,1.81,1.85,1.88,1.91,1.95,1.98,2.01,2.05,2.07,2.08,2.09,2.09,2.1,2.11,2.11,2.12,2.12,2.13,2.14,2.14,2.15,2.16,2.16,2.17,2.18,2.18,2.19,2.2,2.2,2.21,2.22,2.22,2.23,2.24,2.24,2.25,2.26,2.26,2.27,2.28,2.28
