id,block,far_mean,far_median,far_max,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev,far_1,far_2,far_3,far_4,far_5,far_6,far_7,far_8,far_9,far_10,far_11,far_12,far_13,far_14,far_15,far_16,far_17,far_18,far_19,far_20,far_21,far_22,far_23,far_24,far_25,far_26,far_27,far_28,far_29,far_30,far_31,far_32,far_33,far_34,far_35,far_36,far_37,far_38,far_39,far_40,far_41,far_42,far_43,far_44,far_45,far_46,far_47,far_48,far_49,far_50,far_51,far_52,far_53,far_54,far_55,far_56,far_57,far_58,far_59,far_60,far_61,far_62,far_63,far_64,far_65,far_66,far_67,far_68,far_69,far_70,far_71,far_72,far_73,far_74,far_75,far_76,far_77,far_78,far_79,far_80,far_81,far_82,far_83,far_84,far_85,far_86,far_87,far_88,far_89,far_90,far_91,far_92,far_93,far_94,far_95,far_96,far_97,far_98,far_99
535,76,1.0,1.12,1.96,0.61,23257.49,10905.67,30689.86,66.78,65.91,16.05,0.12,0.13,0.15,0.17,0.18,0.2,0.22,0.23,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.3,0.31,0.31,0.32,0.33,0.33,0.34,0.34,0.35,0.36,0.39,0.42,0.46,0.5,0.54,0.57,0.61,0.65,0.69,0.73,0.77,0.82,0.86,0.91,0.95,1.0,1.04,1.09,1.11,1.11,1.12,1.12,1.12,1.12,1.12,1.13,1.13,1.14,1.16,1.18,1.2,1.22,1.24,1.26,1.29,1.31,1.33,1.34,1.36,1.38,1.4,1.41,1.43,1.45,1.47,1.48,1.5,1.51,1.52,1.54,1.55,1.56,1.58,1.59,1.6,1.61,1.62,1.63,1.64,1.65,1.65,1.66,1.67,1.68,1.71,1.74,1.78,1.81,1.84,1.87,1.9,1.93
536,105,0.48,0.48,0.48,0.0,181999.5,181999.5,96786.5,85.16,85.16,1.9,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
537,48,0.37,0.39,0.76,0.23,40141.02,39684.25,22705.1,70.96,70.53,16.46,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.15,0.17,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.35,0.35,0.35,0.36,0.36,0.36,0.36,0.36,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.39,0.39,0.39,0.4,0.4,0.4,0.41,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.44,0.44,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.69,0.7,0.7,0.71,0.72,0.72,0.73,0.74,0.75,0.75
538,69,0.62,0.55,2.49,0.59,37861.11,29359.0,31080.78,64.65,62.12,22.25,0.04,0.05,0.06,0.07,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.2,0.23,0.26,0.3,0.33,0.36,0.38,0.39,0.4,0.41,0.42,0.42,0.43,0.45,0.47,0.49,0.51,0.53,0.55,0.55,0.56,0.56,0.56,0.57,0.57,0.58,0.6,0.62,0.64,0.66,0.68,0.69,0.69,0.7,0.7,0.7,0.71,0.71,0.72,0.73,0.74,0.74,0.75,0.76,0.76,0.77,0.77,0.78,0.78,0.79,0.84,0.9,0.96,1.02,1.08,1.14,1.18,1.2,1.22,1.24,1.26,1.28,1.34,1.53,1.72,1.91,2.11,2.3
539,78,0.84,0.52,2.96,0.97,56331.9,43039.5,56679.86,63.03,65.98,21.12,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.2,0.21,0.23,0.24,0.26,0.27,0.29,0.3,0.32,0.33,0.34,0.36,0.38,0.39,0.4,0.42,0.44,0.45,0.46,0.48,0.48,0.49,0.49,0.5,0.5,0.5,0.51,0.51,0.52,0.52,0.52,0.53,0.53,0.54,0.54,0.54,0.55,0.55,0.56,0.56,0.57,0.57,0.58,0.58,0.59,0.59,0.6,0.6,0.61,0.62,0.62,0.63,0.63,0.64,0.64,0.65,0.65,0.66,0.66,0.67,0.78,0.9,1.01,1.13,1.24,1.36,1.47,1.59,1.7,1.82,1.93,2.04,2.16,2.27,2.39,2.5,2.62,2.73,2.85
540,65,0.43,0.36,1.47,0.24,5473.39,4386.5,4678.56,75.01,79.79,16.2,0.19,0.2,0.2,0.22,0.23,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.29,0.3,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.37,0.37,0.37,0.38,0.38,0.38,0.39,0.39,0.39,0.4,0.4,0.4,0.41,0.41,0.41,0.42,0.42,0.42,0.43,0.44,0.45,0.47,0.48,0.48,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.51,0.54,0.57,0.6,0.62,0.64,0.66,0.67,0.69,0.7,0.71,0.71,0.72,0.77,0.82,0.87,1.07,1.27
541,55,0.35,0.32,0.8,0.14,4492.13,4139.0,1916.84,80.69,82.4,6.0,0.15,0.16,0.17,0.18,0.19,0.19,0.19,0.2,0.21,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.25,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.3,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.37,0.38,0.39,0.4,0.4,0.41,0.42,0.44,0.46,0.47,0.48,0.48,0.48,0.48,0.49,0.5,0.5,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.54,0.56,0.61,0.66,0.71,0.76
542,81,0.7,0.3,1.96,0.72,23498.1,18553.0,19459.74,78.48,91.34,28.37,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.14,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.19,0.2,0.2,0.21,0.22,0.23,0.23,0.24,0.25,0.26,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0.33,0.35,0.38,0.4,0.42,0.45,0.47,0.49,0.51,0.54,0.56,0.58,0.61,0.63,0.69,0.77,0.86,0.94,1.03,1.11,1.2,1.28,1.37,1.45,1.54,1.62,1.7,1.79,1.85,1.86,1.87,1.88,1.88,1.89,1.9,1.91,1.91,1.92,1.93,1.94,1.94,1.95
745,108,0.25,0.25,0.4,0.1,10552.0,10319.5,533.12,84.42,84.05,3.21,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.18,0.18,0.19,0.19,0.19,0.2,0.2,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.24,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.34,0.34,0.34,0.35,0.35,0.36,0.36,0.36,0.37,0.37,0.38,0.38,0.38,0.38,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.4,0.4,0.4
747,70,0.39,0.37,0.67,0.12,3791.06,3999.0,1155.54,78.97,80.48,7.09,0.18,0.19,0.21,0.22,0.23,0.24,0.25,0.26,0.26,0.26,0.26,0.26,0.27,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.3,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.35,0.36,0.36,0.36,0.36,0.37,0.37,0.37,0.37,0.37,0.37,0.38,0.38,0.39,0.39,0.39,0.4,0.4,0.4,0.4,0.41,0.41,0.42,0.43,0.44,0.45,0.45,0.46,0.46,0.47,0.48,0.48,0.49,0.5,0.5,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.53,0.54,0.54,0.54,0.55,0.55,0.55,0.56,0.56,0.57,0.59,0.62,0.64
748,58,0.38,0.36,0.72,0.17,3849.91,3800.75,1558.1,78.33,78.19,4.96,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.2,0.2,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.29,0.3,0.31,0.32,0.32,0.33,0.34,0.35,0.35,0.36,0.37,0.37,0.38,0.38,0.38,0.39,0.39,0.39,0.4,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.48,0.49,0.49,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.57,0.57,0.57,0.58,0.58,0.58,0.58,0.59,0.59,0.6,0.6,0.6,0.61,0.62,0.64,0.65,0.67,0.69,0.7
749,46,0.55,0.51,1.38,0.22,20200.93,9711.25,24046.05,64.59,67.5,18.08,0.21,0.21,0.21,0.24,0.27,0.3,0.3,0.3,0.3,0.31,0.31,0.32,0.33,0.33,0.34,0.35,0.36,0.38,0.39,0.4,0.41,0.41,0.42,0.42,0.42,0.43,0.43,0.44,0.45,0.46,0.46,0.47,0.47,0.47,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.5,0.51,0.51,0.51,0.51,0.51,0.52,0.53,0.54,0.54,0.55,0.55,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.6,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.64,0.64,0.65,0.65,0.66,0.68,0.7,0.72,0.73,0.75,0.76,0.8,0.84,0.87,0.91,0.94,0.98,1.12,1.25
