id,block,far_mean,far_median,far_max,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev,far_1,far_2,far_3,far_4,far_5,far_6,far_7,far_8,far_9,far_10,far_11,far_12,far_13,far_14,far_15,far_16,far_17,far_18,far_19,far_20,far_21,far_22,far_23,far_24,far_25,far_26,far_27,far_28,far_29,far_30,far_31,far_32,far_33,far_34,far_35,far_36,far_37,far_38,far_39,far_40,far_41,far_42,far_43,far_44,far_45,far_46,far_47,far_48,far_49,far_50,far_51,far_52,far_53,far_54,far_55,far_56,far_57,far_58,far_59,far_60,far_61,far_62,far_63,far_64,far_65,far_66,far_67,far_68,far_69,far_70,far_71,far_72,far_73,far_74,far_75,far_76,far_77,far_78,far_79,far_80,far_81,far_82,far_83,far_84,far_85,far_86,far_87,far_88,far_89,far_90,far_91,far_92,far_93,far_94,far_95,far_96,far_97,far_98,far_99
524,245,0.51,0.46,0.83,0.21,3513.62,3340.75,1787.39,73.67,78.08,16.49,0.23,0.24,0.24,0.25,0.25,0.25,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.31,0.31,0.32,0.33,0.34,0.35,0.35,0.36,0.37,0.38,0.38,0.39,0.39,0.4,0.4,0.4,0.41,0.41,0.42,0.42,0.43,0.43,0.44,0.44,0.45,0.45,0.45,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.49,0.49,0.5,0.51,0.52,0.54,0.55,0.56,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.71,0.73,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.81,0.82,0.82,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
525,254,0.55,0.5,1.08,0.21,3246.0,2776.25,1834.07,72.08,74.94,13.44,0.2,0.21,0.22,0.23,0.25,0.26,0.27,0.28,0.29,0.29,0.3,0.32,0.34,0.36,0.38,0.39,0.4,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.43,0.43,0.44,0.45,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.51,0.52,0.53,0.54,0.55,0.57,0.57,0.57,0.58,0.58,0.59,0.6,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.65,0.68,0.72,0.75,0.77,0.79,0.81,0.82,0.84,0.85,0.87,0.9,0.95,1.0,1.05,1.06,1.07,1.07
526,300,0.6,0.65,0.96,0.25,3088.18,2012.5,1862.89,70.14,73.75,14.05,0.24,0.24,0.25,0.25,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.33,0.34,0.36,0.37,0.38,0.39,0.4,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.52,0.53,0.55,0.57,0.58,0.6,0.62,0.63,0.65,0.65,0.66,0.66,0.66,0.67,0.67,0.68,0.68,0.69,0.69,0.7,0.71,0.72,0.73,0.74,0.74,0.75,0.76,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.84,0.85,0.85,0.85,0.86,0.86,0.87,0.87,0.87,0.88,0.89,0.9,0.9,0.91,0.92,0.93,0.93,0.93,0.94,0.94,0.95,0.95,0.95,0.96
527,287,0.51,0.47,0.83,0.15,3031.92,2137.0,1597.18,72.97,76.48,11.33,0.27,0.27,0.28,0.29,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.38,0.39,0.4,0.4,0.4,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.44,0.44,0.44,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.48,0.48,0.48,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.52,0.52,0.53,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.63,0.64,0.65,0.66,0.66,0.67,0.68,0.68,0.68,0.68,0.69,0.69,0.69,0.69,0.7,0.7,0.7,0.71,0.71,0.73,0.75,0.77,0.79,0.81
528,279,0.48,0.39,2.2,0.33,3707.24,3712.75,1866.25,76.08,81.77,12.92,0.18,0.19,0.19,0.2,0.2,0.21,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.27,0.29,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.33,0.35,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.37,0.37,0.37,0.38,0.38,0.39,0.39,0.4,0.41,0.42,0.43,0.43,0.43,0.43,0.43,0.44,0.45,0.45,0.45,0.46,0.47,0.48,0.49,0.49,0.49,0.49,0.51,0.53,0.53,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.56,0.58,0.62,0.64,0.66,0.7,0.76,0.8,0.81,0.84,0.94,1.01,1.03,1.06,1.12,1.21,1.71
529,263,0.47,0.48,0.78,0.14,3730.54,2750.0,2470.41,79.46,78.49,5.05,0.22,0.22,0.23,0.23,0.23,0.24,0.25,0.25,0.26,0.27,0.28,0.29,0.3,0.32,0.33,0.35,0.37,0.39,0.4,0.4,0.41,0.42,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.44,0.44,0.44,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.52,0.52,0.53,0.54,0.56,0.57,0.59,0.6,0.62,0.63,0.64,0.66,0.66,0.66,0.67,0.67,0.67,0.68,0.68,0.69,0.7,0.71,0.73,0.74,0.76
530,293,0.65,0.68,0.95,0.19,2461.67,1664.25,1926.6,71.22,72.66,9.03,0.24,0.26,0.29,0.31,0.33,0.35,0.37,0.4,0.42,0.43,0.44,0.46,0.47,0.48,0.49,0.5,0.52,0.53,0.53,0.53,0.53,0.53,0.54,0.54,0.54,0.54,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.63,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.66,0.66,0.66,0.67,0.67,0.67,0.68,0.68,0.68,0.68,0.69,0.69,0.7,0.7,0.71,0.71,0.71,0.72,0.72,0.73,0.73,0.74,0.74,0.74,0.75,0.75,0.76,0.76,0.77,0.77,0.77,0.77,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.79,0.81,0.82,0.83,0.84,0.85,0.87,0.88,0.89,0.9,0.9,0.91,0.92,0.92,0.93,0.94,0.94
531,277,0.68,0.7,0.93,0.14,2291.47,2220.75,548.56,71.41,70.56,5.12,0.42,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.45,0.45,0.45,0.45,0.46,0.47,0.48,0.49,0.49,0.51,0.52,0.54,0.55,0.57,0.58,0.59,0.6,0.6,0.6,0.61,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.67,0.68,0.68,0.69,0.69,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.71,0.71,0.71,0.71,0.71,0.72,0.72,0.72,0.72,0.73,0.73,0.74,0.74,0.75,0.75,0.75,0.75,0.76,0.76,0.76,0.76,0.76,0.77,0.77,0.77,0.78,0.78,0.79,0.79,0.79,0.8,0.8,0.8,0.8,0.8,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.83,0.85,0.86,0.88,0.9,0.91
532,273,0.51,0.48,1.08,0.18,5366.96,2865.0,9831.38,72.04,76.65,13.03,0.26,0.27,0.28,0.29,0.3,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.38,0.39,0.39,0.4,0.4,0.4,0.4,0.4,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.5,0.5,0.51,0.51,0.52,0.52,0.53,0.53,0.54,0.54,0.54,0.55,0.55,0.56,0.56,0.57,0.57,0.58,0.58,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.61,0.61,0.62,0.63,0.63,0.65,0.66,0.68,0.7,0.71,0.76,0.82,0.89,0.95,1.02
533,236,0.0,0.0,0.0,0.0,3351920.0,3351920.0,0.0,99.94,99.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
