id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev,far_1,far_2,far_3
86,596,1.2,1.2,0.39,6914.67,6914.67,1608.0,27.25,27.25,8.14,1.01,1.2,1.4
90,593,2.18,2.18,0.07,464.77,464.77,36.23,62.18,62.18,32.2,2.14,2.18,2.22
92,605,2.71,2.82,1.82,7030.33,1880.67,7685.64,11.97,11.36,7.34,0.92,2.82,3.94
93,616,2.24,1.99,1.44,2062.85,859.33,3137.58,45.19,50.27,18.88,1.49,1.99,2.11
103,632,2.35,1.18,2.34,1278.65,549.0,1297.56,33.57,33.66,15.31,0.93,1.18,2.4
104,639,2.67,2.68,1.24,1377.17,1261.91,1081.17,13.29,13.41,10.77,1.94,2.68,3.41
105,650,2.19,1.89,0.75,13544.76,9555.18,14198.79,29.24,32.47,17.11,1.76,1.89,2.32
107,669,1.83,1.82,1.0,11896.43,8960.5,10702.7,17.39,16.32,8.14,0.85,1.82,2.8
128,718,1.96,1.96,0.0,33213.0,33213.0,0.0,83.88,83.88,0.0,1.96,1.96,1.96
164,608,3.34,3.31,1.4,2395.97,1955.02,2061.37,3.79,2.43,3.25,2.45,3.31,4.2
166,631,2.14,1.7,1.2,2244.13,616.0,2597.32,37.46,33.03,35.83,1.45,1.7,2.94
168,644,1.27,1.06,0.33,6427.19,6710.0,3038.42,53.47,51.93,33.8,1.04,1.06,1.4
171,662,1.5,1.4,1.05,3749.43,3304.28,3476.98,40.87,39.8,30.59,0.79,1.4,2.11
200,681,0.9,0.86,0.64,62694.35,63792.5,46240.57,77.3,79.79,19.48,0.34,0.86,1.43
224,357,3.65,3.67,0.72,6235.77,2967.66,8501.62,26.81,14.03,33.61,3.21,3.68,4.26
225,389,2.56,2.12,1.78,1878.67,1053.5,2581.96,25.61,13.53,23.28,1.16,2.12,3.35
226,395,2.62,2.62,0.0,2613.5,2613.5,0.0,24.55,24.55,0.0,2.62,2.62,2.62
227,401,4.09,4.09,0.7,2861.99,2861.99,2633.01,14.79,14.79,8.45,3.74,4.09,4.44
