id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev
5,479,0.64,0.64,0.0,19857.33,19857.33,0.0,72.48,72.48,0.0
7,502,8.16,8.16,0.0,59880.0,59880.0,0.0,37.47,37.47,0.0
48,557,2.16,1.41,1.82,23248.07,17982.5,18415.38,60.34,68.89,36.75
86,596,1.2,1.2,0.39,6914.67,6914.67,1608.0,27.25,27.25,8.14
88,568,2.54,2.54,2.1,51341.0,51341.0,36129.0,38.31,38.31,26.36
90,593,1.78,1.78,0.0,36645.0,36645.0,0.0,80.37,80.37,0.0
91,601,2.39,2.39,0.0,16526.0,16526.0,0.0,52.74,52.74,0.0
92,605,2.71,2.82,1.82,7030.33,1880.67,7685.64,11.97,11.36,7.34
93,616,2.24,1.99,1.44,2062.85,859.33,3137.58,45.19,50.27,18.88
103,632,2.35,1.18,2.34,1278.65,549.0,1297.56,33.57,33.66,15.31
104,639,2.67,2.68,1.24,1377.17,1261.91,1081.17,13.29,13.41,10.77
105,650,2.19,1.89,0.75,13544.76,9555.18,14198.79,29.24,32.47,17.11
106,655,3.3,3.3,0.28,32605.5,32605.5,13713.5,29.81,29.81,9.84
107,669,1.83,1.82,1.0,11896.43,8960.5,10702.7,17.39,16.32,8.14
109,661,0.63,0.63,0.0,67540.0,67540.0,0.0,37.03,37.03,0.0
110,658,7.04,7.04,0.0,34736.5,34736.5,0.0,100.0,100.0,0.0
112,610,1.48,1.44,0.36,163989.25,150688.0,43476.89,82.0,88.52,14.41
128,718,1.96,1.96,0.0,33213.0,33213.0,0.0,83.88,83.88,0.0
164,608,3.34,3.31,1.4,2395.97,1955.02,2061.37,3.79,2.43,3.25
166,631,2.14,1.7,1.2,2244.13,616.0,2597.32,37.46,33.03,35.83
168,644,1.27,1.06,0.33,6427.19,6710.0,3038.42,53.47,51.93,33.8
171,662,1.5,1.4,1.05,3749.43,3304.28,3476.98,40.87,39.8,30.59
200,681,1.05,1.05,0.67,81115.5,81115.5,41300.5,74.8,74.8,24.9
213,680,5.12,5.12,0.0,24750.33,24750.33,0.0,68.82,68.82,0.0
224,357,3.65,3.67,0.72,6235.77,2967.66,8501.62,26.81,14.03,33.61
225,389,2.56,2.12,1.78,1878.67,1053.5,2581.96,25.61,13.53,23.28
226,395,2.62,2.62,0.0,2613.5,2613.5,0.0,24.55,24.55,0.0
227,401,4.09,4.09,0.7,2861.99,2861.99,2633.01,14.79,14.79,8.45
228,405,2.61,2.35,0.9,1801.84,1295.12,1755.67,45.82,43.89,27.99
229,424,2.0,2.0,0.0,792.0,792.0,0.0,1.68,1.68,0.0
231,438,2.07,1.69,1.13,1748.0,1620.34,960.1,13.82,4.99,17.43
234,439,2.41,2.17,1.27,2221.05,1342.84,1973.92,42.74,31.43,35.95
255,637,1.28,1.28,1.14,13676.17,13676.17,3677.17,64.05,64.05,21.91
258,524,3.12,3.12,0.0,362.83,362.83,0.0,72.21,72.21,0.0
262,575,1.59,1.59,0.51,26613.0,26613.0,13554.0,41.86,41.86,3.93
264,489,2.27,2.58,0.85,5277.42,6556.16,3552.11,52.57,48.43,25.5
269,592,2.41,1.04,3.26,5143.85,3218.09,4046.85,33.23,23.98,26.68
288,453,1.16,1.16,0.53,4234.12,4234.12,1734.62,29.9,29.9,7.21
297,570,2.13,2.37,0.82,4422.76,2114.0,5622.02,41.41,43.57,24.48
304,444,2.1,2.1,0.26,5465.07,5465.07,5035.93,53.5,53.5,7.35
317,517,1.1,1.1,0.0,47878.0,47878.0,0.0,72.43,72.43,0.0
322,584,2.52,2.52,0.33,5386.41,5386.41,2019.41,39.62,39.62,31.14
323,433,3.06,3.06,0.06,348.75,348.75,58.89,33.5,33.5,3.97
355,120,2.32,2.32,0.0,326.28,326.28,0.0,62.7,62.7,0.0
394,109,2.75,2.75,0.0,1057.0,1057.0,0.0,8.23,8.23,0.0
413,106,0.64,0.64,0.0,83967.0,83967.0,0.0,53.16,53.16,0.0
418,119,1.25,1.25,0.0,267.4,267.4,0.0,73.87,73.87,0.0
440,345,2.96,2.52,1.26,4565.6,3226.0,2983.05,31.23,12.54,35.5
441,355,3.68,4.05,0.98,3828.48,3949.62,2471.39,25.64,24.3,10.53
442,356,1.32,0.98,0.81,6801.53,3163.0,10642.56,58.77,61.74,11.48
443,376,3.23,3.42,0.89,2851.01,1783.5,1884.18,10.5,12.03,5.44
444,380,2.79,3.15,0.62,2539.24,376.02,3107.21,49.03,37.05,27.49
445,396,1.91,1.86,0.78,2346.08,1963.14,2053.14,36.59,32.51,23.58
537,48,0.37,0.39,0.23,40141.02,39684.25,22705.1,70.96,70.53,16.46
538,69,0.5,0.69,0.34,58629.5,53600.0,25946.36,39.81,35.85,12.01
540,65,0.61,0.49,0.18,18787.33,20645.0,4564.22,39.15,51.47,17.52
553,44,1.91,2.16,1.09,40383.03,16171.0,49815.92,68.86,66.98,13.57
558,95,1.94,1.87,0.35,834.21,625.25,295.78,40.47,39.99,2.63
559,101,1.43,1.43,0.55,1071.1,1071.1,400.4,6.97,6.97,5.46
562,91,1.76,1.76,0.03,516.65,516.65,152.21,56.73,56.73,5.52
563,100,2.48,2.18,0.6,907.48,815.36,527.3,43.18,33.65,37.15
564,104,1.12,1.12,0.65,4614.96,4614.96,4386.04,62.74,62.74,1.58
565,42,2.08,2.13,0.78,74566.85,74878.0,44656.88,61.66,54.28,19.11
566,110,1.33,1.48,0.6,2391.89,1704.5,1918.03,36.2,14.49,38.77
609,620,3.94,4.4,3.16,41581.8,35244.5,41839.86,40.97,24.98,34.68
660,607,3.38,3.38,0.0,21347.0,21347.0,0.0,70.12,70.12,0.0
695,99,1.56,1.56,0.87,5897.75,5897.75,5419.5,66.03,66.03,28.6
696,111,1.25,1.15,0.43,3645.45,1547.0,3644.68,62.65,61.78,22.29
697,112,1.65,2.02,0.73,19409.87,1168.17,26155.37,67.09,78.01,32.27
733,413,0.01,0.01,0.0,255480.0,255480.0,0.0,99.46,99.46,0.0
749,46,0.59,0.55,0.26,33850.39,27933.8,26756.97,55.14,52.39,18.16
