id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev,far_1,far_2,far_3
1,400,1.22,1.22,0.55,1379.65,1064.0,1350.07,45.7,44.17,19.23,0.88,1.22,1.48
2,416,1.32,1.11,0.64,1249.43,1249.5,944.41,42.41,47.34,19.02,0.8,1.11,1.55
4,461,1.62,1.35,0.71,813.54,916.75,343.96,38.99,42.48,22.53,1.11,1.36,1.86
6,483,1.24,1.11,0.92,8782.29,2399.0,11762.85,58.26,62.27,24.87,0.8,1.11,1.33
8,526,0.84,0.72,0.26,25095.17,16250.0,21070.79,30.59,27.73,6.61,0.66,0.72,0.96
10,566,1.85,1.85,0.0,59999.0,59999.0,0.0,38.41,38.41,0.0,1.85,1.85,1.85
11,571,1.76,1.76,0.0,45148.0,45148.0,0.0,86.84,86.84,0.0,1.76,1.76,1.76
13,505,2.29,2.29,0.0,2752.5,2752.5,0.0,42.78,42.78,0.0,2.29,2.29,2.29
14,559,1.21,1.14,0.31,1009.25,992.5,79.48,50.68,58.87,21.12,1.09,1.14,1.2
17,370,1.02,0.94,0.7,7035.04,2609.5,8978.78,57.56,58.94,28.3,0.34,0.94,1.66
18,352,0.77,0.76,0.25,7175.6,7957.0,2502.8,27.76,24.25,19.57,0.71,0.76,0.92
19,391,1.37,1.29,0.59,970.74,925.29,348.63,58.44,57.95,15.4,1.0,1.3,1.44
20,392,1.02,0.85,0.52,8732.31,1505.0,19359.73,55.74,57.25,22.54,0.71,0.85,1.47
21,397,1.37,1.25,0.63,863.87,815.0,345.9,49.43,50.8,21.5,1.0,1.25,1.46
22,418,1.07,1.01,0.34,1308.96,1178.5,745.78,53.83,54.14,18.23,0.82,1.01,1.36
23,377,1.39,1.29,0.6,1019.52,859.0,606.44,47.92,49.62,16.77,0.89,1.29,1.86
24,381,1.3,1.0,0.82,1833.08,1569.33,1283.77,37.1,34.01,28.09,0.83,1.0,1.98
25,382,1.16,1.09,0.56,1643.85,829.17,2319.83,52.46,54.35,18.35,0.83,1.09,1.55
26,385,0.99,0.88,0.49,2754.83,1286.5,6086.38,56.2,58.2,20.75,0.64,0.88,1.27
27,390,1.67,1.83,1.01,1359.82,1418.25,658.64,39.07,30.1,31.14,0.62,1.83,2.33
29,412,1.54,1.54,0.8,1029.77,717.67,1058.78,50.96,49.36,17.35,1.05,1.54,1.77
30,435,1.42,1.33,0.65,974.35,844.67,531.2,55.14,56.11,18.09,1.06,1.33,1.6
31,469,1.11,1.06,0.4,1320.04,1224.67,1104.63,61.32,63.21,12.61,0.95,1.06,1.42
32,487,1.51,1.48,0.37,843.9,748.33,266.0,47.34,47.9,12.31,1.17,1.48,1.76
33,491,1.25,1.59,0.8,2216.53,548.0,2087.56,44.8,38.5,21.58,0.32,1.59,1.87
34,499,1.02,1.0,0.39,1847.25,948.0,2096.7,62.12,61.01,9.95,0.94,1.0,1.23
35,503,0.84,0.74,0.32,1573.49,1613.67,544.58,59.82,61.2,11.66,0.59,0.74,1.02
36,518,1.22,1.14,0.53,1005.69,822.67,564.22,58.33,62.45,15.94,0.67,1.14,1.49
37,519,1.22,1.17,0.32,872.12,799.67,304.73,50.44,49.2,10.95,1.06,1.17,1.3
38,531,1.39,1.25,0.51,991.05,875.5,473.8,45.16,40.72,12.52,1.0,1.25,1.9
39,367,0.89,0.83,0.46,1355.57,1218.84,829.3,60.94,63.58,16.7,0.7,0.84,1.01
40,411,0.94,0.73,0.3,1294.25,1324.75,550.74,45.55,39.34,18.48,0.73,0.73,1.04
41,434,0.98,0.69,0.52,1719.56,1632.75,974.67,57.46,61.3,15.88,0.6,0.7,1.32
42,443,0.98,0.94,0.38,1498.29,1185.0,881.85,58.43,64.47,15.39,0.72,0.94,1.19
43,451,0.86,0.78,0.33,1696.74,1516.67,801.55,63.21,62.48,11.31,0.64,0.78,1.0
