id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev
1,400,1.22,1.19,0.51,1178.87,1060.5,752.46,45.6,44.61,19.21
2,416,1.25,1.09,0.49,1080.12,992.0,549.81,42.97,50.62,19.41
4,461,1.77,1.55,0.76,709.72,708.5,338.57,33.38,29.15,23.47
6,483,0.9,0.97,0.44,4571.0,2249.0,6105.81,65.96,65.0,17.52
14,559,1.21,1.14,0.31,1009.25,992.5,79.48,50.68,58.87,21.12
19,391,1.26,1.28,0.39,918.36,850.83,324.83,59.73,58.49,11.84
20,392,0.76,0.77,0.42,11550.56,1393.5,23153.5,67.39,63.42,15.45
21,397,1.3,1.27,0.42,882.62,690.34,359.93,48.95,50.35,13.66
22,418,1.07,1.01,0.34,1308.96,1178.5,745.78,53.83,54.14,18.23
23,377,1.29,1.22,0.56,1101.92,920.0,651.35,49.99,49.62,14.21
24,381,0.71,0.7,0.34,2565.29,2588.16,1506.87,57.65,67.55,26.37
25,382,1.18,1.06,0.59,1676.5,749.5,2816.61,50.52,52.8,18.21
26,385,0.88,0.81,0.4,3185.69,1385.0,6734.61,60.42,59.56,17.43
27,390,1.36,0.63,1.04,1295.45,1509.0,619.59,52.97,69.73,27.04
29,412,1.83,1.74,0.97,683.78,602.19,321.73,46.01,45.95,20.03
30,435,1.42,1.33,0.65,974.35,844.67,531.2,55.14,56.11,18.09
31,469,1.11,1.06,0.4,1320.04,1224.67,1104.63,61.32,63.21,12.61
32,487,1.51,1.48,0.37,843.9,748.33,266.0,47.34,47.9,12.31
33,491,1.25,1.59,0.8,2216.53,548.0,2087.56,44.8,38.5,21.58
34,499,1.02,1.0,0.39,1847.25,948.0,2096.7,62.12,61.01,9.95
35,503,0.84,0.74,0.32,1573.49,1613.67,544.58,59.82,61.2,11.66
36,518,1.22,1.14,0.53,1005.69,822.67,564.22,58.33,62.45,15.94
37,519,1.22,1.17,0.32,872.12,799.67,304.73,50.44,49.2,10.95
38,531,1.39,1.25,0.51,991.05,875.5,473.8,45.16,40.72,12.52
39,367,0.89,0.83,0.46,1355.57,1218.84,829.3,60.94,63.58,16.7
40,411,0.94,0.73,0.3,1294.25,1324.75,550.74,45.55,39.34,18.48
41,434,0.98,0.69,0.52,1719.56,1632.75,974.67,57.46,61.3,15.88
42,443,0.98,0.94,0.38,1498.29,1185.0,881.85,58.43,64.47,15.39
43,451,0.86,0.78,0.33,1696.74,1516.67,801.55,63.21,62.48,11.31
44,459,0.91,0.79,0.32,1247.79,1176.75,447.02,60.4,61.33,9.71
45,463,0.99,0.93,0.23,1103.12,1107.09,150.54,67.41,64.55,10.51
46,478,0.44,0.41,0.1,3114.81,3177.0,683.74,78.88,80.02,4.69
47,500,0.45,0.45,0.09,3097.26,2857.0,584.95,78.34,78.11,4.35
