neighborhood,far_min,far_max,far_mean,far_median,far_stddev,ladu_min,ladu_max,ladu_mean,ladu_median,ladu_stddev,os_min,os_max,os_mean,os_median,os_stddev,far_75,far_80,far_90,ladu_75,ladu_80,ladu_90,os_75,os_80,os_90
Area 2/MIT,0.29,15.67,3.55,2.29,3.14,60.42,153120.0,30159.49,21600.0,37991.52,3.58,100.0,56.38,59.84,28.08,4.95,5.27,6.19,313.5,260.27,170.36,38.68,29.9,18.51
Baldwin,0.03,53.65,0.91,0.73,2.34,13.0,1210316.0,5619.55,2103.5,52493.66,0.94,100.0,63.62,69.65,78.08,1.02,1.07,1.32,1215.25,1068.33,734.0,60.09,56.99,44.91
Cambridge Highlands,0.03,2.96,0.48,0.38,0.39,443.16,278786.0,16370.19,4999.0,29793.79,6.34,100.0,73.96,79.13,16.24,0.55,0.6,0.76,3177.5,2681.33,2256.5,68.24,63.27,50.86
Cambridgeport,0.05,7.69,0.99,0.84,0.66,179.17,221276.0,3807.15,1549.25,13597.14,0.1,100.0,57.49,63.0,23.58,1.14,1.27,1.59,1007.71,906.74,680.68,49.22,44.69,26.42
East Cambridge,0.0,19.95,1.45,1.17,1.3,113.42,267820.0,5294.98,1047.66,19611.77,0.22,100.0,45.16,49.36,41.61,1.61,1.78,2.32,682.37,614.88,459.65,34.18,30.36,15.08
Mid-Cambridge,0.05,5.94,1.01,0.88,0.56,107.5,232128.0,2512.96,1512.0,8144.96,0.69,100.0,61.33,64.82,17.95,1.18,1.27,1.63,1024.0,923.34,631.8,53.99,50.58,37.52
Neighborhood Nine,0.02,4.04,0.74,0.66,0.45,218.02,340438.0,4026.98,2537.0,11199.84,0.0,100.0,68.63,72.25,16.7,0.86,0.92,1.13,1600.0,1440.0,1058.0,63.42,60.81,48.1
None,0.51,1.07,0.77,0.78,0.21,1666.33,7035.0,3252.52,2210.0,1946.09,52.53,81.48,70.89,70.51,9.36,0.95,0.97,1.02,1673.16,1669.06,1666.33,67.01,66.73,60.94
North Cambridge,0.0,12.53,0.71,0.62,0.5,70.49,460347.0,3762.51,2069.25,15821.41,0.52,100.0,68.92,71.84,17.02,0.83,0.9,1.09,1469.83,1285.88,1054.87,62.96,60.79,52.43
Riverside,0.0,9.68,1.14,0.92,0.85,108.52,379221.0,3045.1,1382.29,16970.04,0.77,100.0,55.94,62.77,29.55,1.3,1.42,1.97,865.25,766.9,565.5,47.2,41.71,23.73
Strawberry Hill,0.0,2.2,0.54,0.51,0.24,555.1,3351920.0,13122.42,2551.5,177745.45,3.52,100.0,73.66,76.36,13.46,0.67,0.71,0.83,1757.0,1640.7,1401.1,69.54,67.37,60.22
The Port,0.06,7.81,1.12,0.87,0.84,122.01,235490.0,3784.23,1499.5,15082.76,0.3,100.0,55.72,60.89,26.27,1.28,1.46,1.98,868.62,794.67,598.45,46.58,41.73,25.2
Wellington-Harrington,0.0,5.24,1.09,0.95,0.63,211.06,526716.0,2627.54,1233.33,18379.25,0.61,100.0,56.06,59.19,20.6,1.41,1.51,1.85,789.5,699.67,534.73,45.14,40.77,28.13
West Cambridge,0.04,14.47,0.67,0.54,0.63,48.5,356478.0,6283.07,3489.67,12062.62,0.6,100.0,72.63,76.26,19.44,0.74,0.8,1.0,2142.5,1942.3,1480.2,69.23,66.48,55.49
