zone,total,nc_count,nc_far_count,nc_ladu_count,nc_oc_count,nc_perc,nc_far_perc,nc_ladu_perc,nc_oc_perc
A-1,343,75,57,50,3,21.87,16.62,14.58,0.87
A-2,645,221,205,139,19,34.26,31.78,21.55,2.95
B,3898,2694,2486,2040,106,69.11,63.78,52.33,2.72
C,834,606,580,429,65,72.66,69.54,51.44,7.79
C-1,4738,3079,2794,2436,283,64.99,58.97,51.41,5.97
BA,464,141,111,86,0,30.39,23.92,18.53,0.0
BA-1,112,28,20,19,0,25.0,17.86,16.96,0.0
BA-2,139,17,10,12,0,12.23,7.19,8.63,0.0
BA-3,83,52,7,50,11,62.65,8.43,60.24,13.25
BA-4,6,1,1,1,0,16.67,16.67,16.67,0.0
BB,197,27,24,11,0,13.71,12.18,5.58,0.0
BB-1,6,0,0,0,0,0.0,0.0,0.0,0.0
BB-2,4,0,0,0,0,0.0,0.0,0.0,0.0
BC,34,12,8,7,0,35.29,23.53,20.59,0.0
